ranking;qtd;grupo;avaliacao
1;19;"[738 476 323 823 961 892 970  14 346 647 731 480 208 222 715 832 155 609
 638]";200000
2;20;"[ 557  828  831  460  447  435  290  522  527 1083  424  102  615  847
 1076  105 1061  628  974  602]";199973
3;19;"[ 906  558 1079   38  986  514  124  705  117 1030  840  379 1026  772
  692  969  594 1053  873]";199996
4;17;"[ 875  449  316 1027  490   18  833  380   20  612 1075   99  107  829
  640  953   22]";199990
5;15;"[ 729  115  322  485 1101  570  133  642  418  585  289  566  446 1045
  324]";199982
6;18;"[ 646  730  478  387  753  223  283  708  864  547  456  325  846  130
  429 1087  975  344]";199988
7;20;"[ 306  132  545 1089  539  812  982  878  891  220   98  320  610  890
 1088  999 1058  156  952  114]";199984
8;18;"[ 770  127  691  644  671  122 1057  743  662  118    3   61  109  312
  593  600  834  860]";199970
9;18;"[ 162   53  709  724  291  438  121  523  668  789 1055  656  589  234
  120  140  796  106]";199697
10;18;"[ 414  377  574  385  576  103  128  365  100  779  347 1063  219  370
  110  433 1019  111]";158623
11;20;"[ 706    6 1068  711 1018  889  397  604  666  221  349  125  575  542
 1084  135  509   59  116   24]";94659
12;19;"[  19  511  521  630  859  643  693  676  736  631  437    9  530  482
 1093  596  677  416   21]";59623
13;18;[ 60 366 419 577 345 101 865 392 139 559 816 440 303 391 861 352 378 348];42389
14;18;"[ 745  637  113  112  774  611  415  863  373 1028  737  769  505  432
  434   57  719  321]";29654
15;19;"[ 905  450  620 1029  354  617  618   39  653  632  623  546 1033  569
  659  510  462  417  857]";22166
16;19;"[ 903  722  912   63  902  572  679 1074  430  471  506  469  369  226
  359 1046  492  381  625]";17098
17;19;"[ 824  390  841  869  607  622  681  560  367  386  629  519  877  353
 1001  326  491  862  461]";11928
18;19;"[ 660  445  613  636  473  436  452  567  470  448  309 1065 1060 1035
  507  844  592  529  389]";8971
19;18;"[1036   62 1011  791  614  665  394  616  744  540  627  696   13  591
  726 1049  858  403]";6982
20;20;"[ 790  481  819  439  913  732 1048  804  376  503 1071 1077  723  641
  479  474   23  923  758  663]";5113
21;20;"[ 697  551  852  597  888  867 1091  368 1098 1037 1015  467  839  739
 1099  680  921  781  639 1064]";3923
22;18;"[ 698   10   11  778  795  483  695  989  956  669 1069  606  621  748
  645  720 1012  635]";3009
23;20;"[ 914  966  766 1022 1103  717  835  872  810  907  749  710  683  104
  750  518  664  431  586  393]";2344
24;20;"[ 746  516  820  792  587  894  716  543  762 1004  619  564  822 1078
  741  984  673  650  383  771]";1667
25;19;"[ 798  648  799  801  661 1038  712  504  590  740  782  985  988  475
  788  372  371  973  793]";1344
26;20;"[ 848  773 1072  977  868   52  655  949  827  487  825  836 1070  658
  954 1102  382  983  718 1007]";1026
27;19;"[ 528  667  563  707  821  688 1082  998  946  549  550  515  734  678
  786 1073  803  845  374]";850
28;20;"[ 733  967  815  945  911  784  937  517  672 1059  797  336  830  814
  843  727  484   64 1040  224]";588
29;20;"[ 935  962  838  978  703  882  806  687  556  307  684  802 1017 1024
  468  842  800  608  775  657]";415
30;20;"[ 992 1100  938  765  690 1092  553  721  808  686  488 1086  701  987
  776  785  854  876  694  780]";322
31;19;"[ 971  552  897  883  578  925  555  783  979  807  700  704 1066  764
 1052  818  904  728  388]";214
32;18;"[ 849 1016  689  932  747  942 1081 1080  742  916  918  603 1094  922
  874  870  805 1032]";106
33;20;"[1005  926  582  886  901 1002  554  714 1090  685  599  794  809  751
  951  826  811  950  624  531]";46
